Year,Population,,dt,dp ,(dp/dt)/P = r,dp/dt,Exponential approximation,Error,Error percentage
1905,80396,,365,630,0.007836211,,,,
1906,81026,,365,1060,0.013082221,1.726027397,81454.34526,428.345256,0.528651613
1907,82086,,365,839,0.010220988,2.904109589,82092.63867,6.638672499,0.00808746
1908,82925,,365,651,0.007850467,2.298630137,83166.59267,241.5926748,0.29133877
1909,83576,,366,952,0.01139083,1.778688525,84016.6374,440.6373993,0.527229587
1910,84528,,365,693,0.008198467,2.608219178,84676.20726,148.207263,0.175335111
1911,85221,,365,440,0.005163047,1.898630137,85640.73954,419.7395368,0.49253064
1912,85661,,365,455,0.005311635,1.205479452,86342.86229,681.8622949,0.796000858
1913,86116,,366,1021,0.011856101,1.243169399,86788.65452,672.6545223,0.781102841
1914,87137,,365,939,0.010776134,2.797260274,87249.64421,112.644212,0.129272539
1915,88076,,365,983,0.011160816,2.57260274,88284.08481,208.0848124,0.236255975
1916,89059,,365,760,0.008533669,2.693150685,89235.44595,176.4459522,0.198122539
1917,89819,,366,1549,0.017245794,2.076502732,90231.38631,412.3863147,0.459130379
1918,91368,,365,529,0.005789773,4.243835616,91001.39107,-366.6089289,-0.40124434
1919,91897,,365,958,0.010424715,1.449315068,92570.78234,673.7823443,0.733192971
1920,92855,,365,1581,0.017026547,2.624657534,93106.74618,251.7461813,0.271117529
1921,94436,,366,744,0.007878351,4.319672131,94077.35744,-358.64256,-0.379773137
1922,95180,,365,1206,0.012670729,2.038356164,95679.16997,499.1699661,0.524448378
1923,96386,,365,1318,0.013674185,3.304109589,96432.9641,46.96409607,0.048725018
1924,97704,,365,779,0.007973061,3.610958904,97654.84006,-49.15993524,-0.050315172
1925,98483,,366,1634,0.016591696,2.128415301,98990.19042,507.1904186,0.515003014
1926,100117,,365,1613,0.01611115,4.476712329,99779.44529,-337.5547061,-0.337160229
1927,101730,,365,1597,0.015698417,4.419178082,101434.9555,-295.0444799,-0.290027013
1928,103327,,365,1485,0.014371849,4.375342466,103069.1893,-257.8107008,-0.249509519
1929,104812,,366,1538,0.014673892,4.057377049,104687.2125,-124.7875483,-0.119058455
1930,106350,,365,2279,0.021429243,4.21369863,106191.7612,-158.2387809,-0.148790579
1931,108629,,365,1215,0.011184859,6.243835616,107750.0077,-878.9923133,-0.809169111
